target,campaign,campaign_label,variant,label,round,repetitions,performance_metric,performance_value,performance_unit,performance_direction,plot_reference,plot_performance_delta_percent,plot_peak_rss_delta_percent,matched_reference,matched_performance_delta_percent,matched_peak_rss_delta_percent,peak_rss_mib,performance_value_median,peak_rss_mib_median,plot_performance_delta_percent_median,plot_peak_rss_delta_percent_median,matched_performance_delta_percent_median,matched_peak_rss_delta_percent_median,source_json_path
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,mimalloc_thp_default,mimalloc - THP allowed,5,5,throughput,61250.78036212184,requests_per_second,higher_is_better,mimalloc_thp_default,0.0,0.0,mimalloc_thp_default,0.0,0.0,68.49609375,63162.063785429775,68.390625,0.0,0.0,0.0,0.0,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,mimalloc_thp_off,mimalloc - THP disabled,1,5,throughput,63135.06119763084,requests_per_second,higher_is_better,mimalloc_thp_default,-0.269558584644114,-85.0755631593955,mimalloc_thp_default,-0.269558584644114,-85.0755631593955,10.22265625,63170.550996631464,10.22265625,0.21909824207897444,-85.0755631593955,0.21909824207897444,-85.0755631593955,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,mimalloc_thp_off,mimalloc - THP disabled,2,5,throughput,61470.6223893663,requests_per_second,higher_is_better,mimalloc_thp_default,-2.542627057430602,-84.24876988213754,mimalloc_thp_default,-2.542627057430602,-84.24876988213754,10.75390625,63170.550996631464,10.22265625,0.21909824207897444,-85.0755631593955,0.21909824207897444,-85.0755631593955,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,mimalloc_thp_off,mimalloc - THP disabled,3,5,throughput,63300.450756844446,requests_per_second,higher_is_better,mimalloc_thp_default,0.21909824207897444,-82.71626099874301,mimalloc_thp_default,0.21909824207897444,-82.71626099874301,11.81640625,63170.550996631464,10.22265625,0.21909824207897444,-85.0755631593955,0.21909824207897444,-85.0755631593955,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,mimalloc_thp_off,mimalloc - THP disabled,4,5,throughput,63550.423661838555,requests_per_second,higher_is_better,mimalloc_thp_default,0.5997437777196524,-85.18391592414896,mimalloc_thp_default,0.5997437777196524,-85.18391592414896,10.1328125,63170.550996631464,10.22265625,0.21909824207897444,-85.0755631593955,0.21909824207897444,-85.0755631593955,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,mimalloc_thp_off,mimalloc - THP disabled,5,5,throughput,63170.550996631464,requests_per_second,higher_is_better,mimalloc_thp_default,3.134279470660961,-85.40062731679498,mimalloc_thp_default,3.134279470660961,-85.40062731679498,10.0,63170.550996631464,10.22265625,0.21909824207897444,-85.0755631593955,0.21909824207897444,-85.0755631593955,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,tcmalloc_default,TCMalloc - host default,1,5,throughput,62737.69345615959,requests_per_second,higher_is_better,mimalloc_thp_default,-0.8972551372315674,-82.71457085828344,mimalloc_thp_default,-0.8972551372315674,-82.71457085828344,11.83984375,63610.1630901544,11.76953125,0.7094437354784322,-82.7611854903307,0.7094437354784322,-82.7611854903307,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,tcmalloc_default,TCMalloc - host default,2,5,throughput,62154.02534772609,requests_per_second,higher_is_better,mimalloc_thp_default,-1.4591394597119334,-82.7611854903307,mimalloc_thp_default,-1.4591394597119334,-82.7611854903307,11.76953125,63610.1630901544,11.76953125,0.7094437354784322,-82.7611854903307,0.7094437354784322,-82.7611854903307,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,tcmalloc_default,TCMalloc - host default,3,5,throughput,63610.1630901544,requests_per_second,higher_is_better,mimalloc_thp_default,0.7094437354784322,-82.80767912238602,mimalloc_thp_default,0.7094437354784322,-82.80767912238602,11.75390625,63610.1630901544,11.76953125,0.7094437354784322,-82.7611854903307,0.7094437354784322,-82.7611854903307,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,tcmalloc_default,TCMalloc - host default,4,5,throughput,63816.488264860476,requests_per_second,higher_is_better,mimalloc_thp_default,1.020921629101923,-82.58510395247886,mimalloc_thp_default,1.020921629101923,-82.58510395247886,11.91015625,63610.1630901544,11.76953125,0.7094437354784322,-82.7611854903307,0.7094437354784322,-82.7611854903307,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,tcmalloc_default,TCMalloc - host default,5,5,throughput,64171.80867214389,requests_per_second,higher_is_better,mimalloc_thp_default,4.768965052775798,-82.87425149700599,mimalloc_thp_default,4.768965052775798,-82.87425149700599,11.73046875,63610.1630901544,11.76953125,0.7094437354784322,-82.7611854903307,0.7094437354784322,-82.7611854903307,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
