cohort,metric,comparison,comparison_label,aggregation_level,unit_id,family,eligible_for_headline,diagnostic_only,reference_median,subject_median,ratio,observation_count,note
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::iter_10k,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::iteration_1000,btree,True,False,953.44,1070.8,1.1230911226715892,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::iteration_1000,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::iteration_100000,btree,True,False,263052.47,264744.4,1.0064319107134787,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::iteration_100000,btree,True,True,4096.0,4096.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::iteration_20,btree,False,True,20.46,23.1,1.1290322580645162,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::iteration_20,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::iteration_mut_1000,btree,True,False,1081.78,1075.43,0.9941300449259555,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::iteration_mut_1000,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::iteration_mut_100000,btree,True,False,262350.29,260174.47,0.9917064318854003,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::iteration_mut_100000,btree,True,True,4096.0,4096.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::iteration_mut_20,btree,False,True,23.19,23.29,1.0043122035360068,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::iteration_mut_20,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::range_included_excluded,btree,True,False,867475.9,886030.0,1.0213886057238017,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::range_included_excluded,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::range_included_included,btree,True,False,1028219.2,1027511.2,0.9993114308699935,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::range_included_included,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::range_included_unbounded,btree,True,False,993998.4,996231.8,1.0022468849044426,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::range_included_unbounded,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
