variant,allocator,feature,allocator_label,benchmark,robustness_selected,sample_index,measured_round,sample_ns_per_iter,cell_median_ns_per_iter,cell_mad_ns_per_iter,cell_min_ns_per_iter,cell_max_ns_per_iter,cell_median_ratio_vs_unialloc,aggregate_geomean_median_ratio_vs_unialloc,robust_geomean_median_ratio_vs_unialloc
bench_ourself,unialloc,bench_ourself,UniAlloc,string::bench_push_char_one_byte,true,1,1,11442.5,11442.5,35.079999999999927,11336.299999999999,11477.58,1,1,1
bench_ourself,unialloc,bench_ourself,UniAlloc,string::bench_push_char_one_byte,true,2,2,11336.299999999999,11442.5,35.079999999999927,11336.299999999999,11477.58,1,1,1
bench_ourself,unialloc,bench_ourself,UniAlloc,string::bench_push_char_one_byte,true,3,3,11477.58,11442.5,35.079999999999927,11336.299999999999,11477.58,1,1,1
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,string::bench_push_char_one_byte,true,1,1,11004.34,11053.040000000001,48.700000000000728,11004.34,11118.23,0.96596373170198824,0.81232787988481392,0.81232787988481392
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,string::bench_push_char_one_byte,true,2,2,11118.23,11053.040000000001,48.700000000000728,11004.34,11118.23,0.96596373170198824,0.81232787988481392,0.81232787988481392
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,string::bench_push_char_one_byte,true,3,3,11053.040000000001,11053.040000000001,48.700000000000728,11004.34,11118.23,0.96596373170198824,0.81232787988481392,0.81232787988481392
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,string::bench_push_char_one_byte,true,1,1,11141.879999999999,11149.49,7.6100000000005821,11141.879999999999,11173.940000000001,0.97439283373388685,0.81557727656763457,0.81557727656763457
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,string::bench_push_char_one_byte,true,2,2,11149.49,11149.49,7.6100000000005821,11141.879999999999,11173.940000000001,0.97439283373388685,0.81557727656763457,0.81557727656763457
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,string::bench_push_char_one_byte,true,3,3,11173.940000000001,11149.49,7.6100000000005821,11141.879999999999,11173.940000000001,0.97439283373388685,0.81557727656763457,0.81557727656763457
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,string::bench_push_char_one_byte,true,1,1,11132.76,11080.57,52.190000000000509,11022.98,11132.76,0.96836967445925271,0.77215917526012701,0.77215917526012701
